"","RMSE","Adjusted_R2","R2","F_Statistic.value","F_p_val.NA","formula1","formula2","formula3"
"Anxiety_AIC_model","2.70827795016664","0.0488662300884948","0.0541872581719158","10.1836068749101",NA,"~","Anxiety","Age + Frequency_Folk + Frequency_Pop + Frequency_Metal"
"Anxiety_BIC_model","2.71758320136923","0.0450054277864277","0.047676741275137","17.8476773604633",NA,"~","Anxiety","Age + Frequency_Folk"
"Anxiety_Cp_model","2.65952513693486","0.0548867697279718","0.0879326868703504","2.66092438867687",NA,"~","Anxiety","Age + Primary_streaming_service + Fav_genre + Exploratory + Foreign_languages + Frequency_Folk + Frequency_Pop"
"Anxiety_AdjR2_model","2.73466762447177","0.034314699051032","0.0356653078635481","26.4068378149462",NA,"~","Anxiety","Age"
"Depression_AIC_model","2.89417646919525","0.0730143592753699","0.0807932597569751","10.3862056016819",NA,"~","Depression","Frequency_Rock + Frequency_Rap + Age + Frequency_Metal + Frequency_Country + Frequency_Folk"
"Depression_BIC_model","2.92278256484418","0.0585825415543546","0.0625325448765041","15.8310107046883",NA,"~","Depression","Age + Frequency_Rap + Frequency_Rock"
"Depression_Cp_model","2.85958412962615","0.0754817014172902","0.102635385711328","3.77979594223478",NA,"~","Depression","Age + Fav_genre + Frequency_Country + Frequency_Folk + Frequency_Metal + Frequency_Rap + Frequency_Rock"
"Depression_AdjR2_model","2.96333817238591","0.0349863760332364","0.0363360454373857","26.9221820733855",NA,"~","Depression","Frequency_Rock"
"Insomnia_AIC_model","2.99059359492558","0.0496756540291685","0.0576504037855671","7.22911759573534",NA,"~","Insomnia","Frequency_Metal + Hours_per_day + Frequency_Classical + Frequency_Country + Frequency_EDM + Composer"
"Insomnia_BIC_model","3.02334131571892","0.0341979540605986","0.0368994982450445","13.6586691631746",NA,"~","Insomnia","Hours_per_day + Frequency_Metal"
"Insomnia_Cp_model","2.96361889528908","0.0479424564186678","0.0745734366587051","2.80025128577846",NA,"~","Insomnia","Hours_per_day + Fav_genre + Frequency_Classical + Frequency_Country + Frequency_EDM + Frequency_Metal"
"Insomnia_AdjR2_model","3.04384341173836","0.0224258824148013","0.0237931189428925","17.4023429406983",NA,"~","Insomnia","Frequency_Metal"
"OCD_AIC_model","2.78837503134065","0.0332418948807561","0.0400024410704012","5.91704278741144",NA,"~","OCD","Age + Hours_per_day + Frequency_Country + Frequency_EDM + Foreign_languages"
"OCD_BIC_model","2.80407980565999","0.0264348714749879","0.0291581305757572","10.7070717463207",NA,"~","OCD","Age + Hours_per_day"
"OCD_Cp_model","2.78837503134065","0.0332418948807561","0.0400024410704012","5.91704278741144",NA,"~","OCD","Age + Hours_per_day + Foreign_languages + Frequency_Country + Frequency_EDM"
"OCD_AdjR2_model","2.82088272034982","0.0161120323642734","0.0174880994518758","12.7087549796327",NA,"~","OCD","Age"
